doc_name,stream,group,is_active,is_expired,is_rfc,is_replaced,is_withdrawn_submitter,is_withdrawn_ietf,rfc_num,revisions
draft-torres-dnsext-oid,None,none,False,True,False,False,False,False,None,00
draft-bryant-mpls-oam-udp-return,ietf,mpls,False,False,False,True,False,False,None,02
draft-ietf-oim-eventmanagement,ietf,oim,False,True,False,False,False,False,None,00
draft-nri-droms-kis,None,none,False,True,False,False,False,False,None,00
draft-fricc-brim-BackboneRouting,None,none,False,True,False,False,False,False,None,01
draft-ietf-ppp-multidatagrams,ietf,ppp,False,False,True,False,False,False,1171,04
draft-ietf-idpr-architecture,ietf,idpr,False,False,True,False,False,False,1478,05
draft-ietf-msi-api,ietf,msi,False,True,False,False,False,False,None,03
draft-ietf-iwg-bgpapplication,ietf,idr,False,False,True,False,False,False,1164,00
draft-ietf-iwg-bgp,ietf,idr,False,False,True,False,False,False,1163,00
draft-ietf-fddi-ipdatagrams,ietf,fddi,False,False,True,False,False,False,1188,01
draft-ietf-userdoc-bibliography,ietf,userdoc,False,False,True,False,False,False,1175,00
draft-osf-shue-osiudp,legacy,none,False,False,True,False,False,False,1240,00
draft-ietf-snmp-mib2,ietf,snmp,False,False,True,False,False,False,1213,04
draft-rsadsi-pemforms,ietf,pem,False,True,False,False,False,False,None,01
draft-ietf-pcc-gwcc,ietf,pcc,False,False,True,False,False,False,1254,01
draft-ietf-pdn-pdnclusternetassignm,ietf,pdnrout,False,True,False,False,False,False,None,00
draft-ietf-pdn-pdncluster,ietf,pdnrout,False,True,False,False,False,False,None,00
draft-ietf-noctools-debugging,ietf,noctools,False,False,True,False,False,False,1147,05
draft-ietf-alertman-asyncalertman,ietf,alertman,False,False,True,False,False,False,1224,02
draft-ietf-auth-ipauthoption,ietf,ipauth,False,True,False,False,False,False,None,00
draft-ietf-dhc-problem-stmt,ietf,dhc,False,True,False,False,False,False,None,00
draft-ietf-osi-iso8473,ietf,osigen,False,False,True,False,False,False,1139,00
draft-ietf-pdn-clusterscheme,ietf,pdnrout,False,True,False,False,False,False,None,00
draft-ietf-oim-mib2,ietf,oim,False,False,True,False,False,False,1214,02
draft-ietf-rose-tsbridge,None,none,False,True,False,False,False,False,None,00
draft-ietf-pdn-xarp,ietf,pdnrout,False,True,False,False,False,False,None,01
draft-ietf-snmp-t1mib,ietf,snmp,False,False,True,False,False,False,1232,07
draft-csc-sawyer-mtudisc,None,none,False,True,False,False,False,False,None,00
draft-ucl-kille-x500domains,ietf,osids,False,False,True,False,False,False,1279,03
draft-ietf-telnet-linemodeoption,ietf,telnet,False,False,True,False,False,False,1184,02
draft-ietf-telnet-authentication,ietf,telnet,False,False,True,False,False,False,1409,04
draft-ietf-telnet-encryption,ietf,telnet,False,True,False,False,False,False,None,02
draft-ietf-telnet-compression,ietf,telnet,False,True,False,False,False,False,None,00
draft-ietf-snmpauth-communities,ietf,snmpauth,False,True,False,False,False,False,None,01
draft-ietf-snmpauth-manageobject,ietf,snmpauth,False,True,False,False,False,False,None,02
draft-ietf-snmpauth-authsnmp,ietf,snmpauth,False,True,False,False,False,False,None,02
draft-nist-nmsig-implagreements,None,none,False,True,False,False,False,False,None,00
draft-ietf-oim-cmot,ietf,oim,False,False,True,False,False,False,1189,00
draft-ietf-snmp-clnpmib,ietf,snmp,False,False,True,False,False,False,1162,00
draft-ietf-snmp-OsiSnmp,ietf,snmp,False,False,True,False,False,False,1283,00
draft-ietf-osinsap-format,ietf,osinsap,False,True,False,False,False,False,None,01
draft-ietf-bmwg-terms,ietf,bmwg,False,False,True,False,False,False,1242,01
draft-ietf-iwg-bgp-mib,ietf,idr,False,False,True,False,False,False,1269,02
draft-ietf-smds-ipdatagrams,ietf,smds,False,False,True,False,False,False,1209,03
draft-ietf-lanman-mib,ietf,lanman,False,True,False,False,False,False,None,00
draft-ietf-lanman-alerts,ietf,lanman,False,True,False,False,False,False,None,00
draft-fopg-ositransition,None,none,False,True,False,False,False,False,None,00
draft-ietf-ospf-ospf2,ietf,ospf,False,False,True,False,False,False,1247,01
draft-zimmerman-finger,legacy,none,False,False,True,False,False,False,1288,03
draft-ietf-pdnrout-x25call,ietf,pdnrout,False,True,False,False,False,False,None,00
draft-ietf-snmp-snmpoveripx,ietf,snmp,False,False,True,False,False,False,1298,00
draft-ietf-cip-st2,ietf,cip,False,False,True,False,False,False,1190,00
draft-ietf-snmp-mibdefinitions,ietf,snmp,False,False,True,False,False,False,1212,03
draft-ietf-snmp-traps,ietf,snmp,False,False,True,False,False,False,1215,02
draft-ietf-snmp-interfacemibext,ietf,snmp,False,False,True,False,False,False,1229,01
draft-provan-iparcnet,legacy,none,False,False,True,False,False,False,1201,01
draft-ietf-snmp-tokenbusmib,ietf,snmp,False,False,True,False,False,False,1230,01
draft-ietf-snmp-tokenringmib,ietf,snmp,False,False,True,False,False,False,1231,02
draft-ietf-snmp-ethernetmib,ietf,snmp,False,False,True,False,False,False,1284,05
draft-ietf-pppext-bridging,ietf,pppext,False,False,True,False,False,False,1220,01
draft-ietf-snmp-proxys,ietf,snmp,False,True,False,False,False,False,None,01
draft-ietf-snmp-ds3interface,ietf,snmp,False,False,True,False,False,False,1233,04
draft-ietf-snmp-proxycomments,ietf,snmp,False,True,False,False,False,False,None,00
draft-ietf-snmp-smdssipmib,ietf,snmp,False,False,True,False,False,False,1304,06
draft-slaski-ftpftam,legacy,none,False,False,True,False,False,False,1415,02
draft-ietf-osix500-directories,ietf,osids,False,True,False,False,False,False,None,01
draft-ietf-osids-cosinex500,ietf,osids,False,False,True,False,False,False,1274,05
draft-ietf-osids-replsoln,ietf,osids,False,False,True,False,False,False,1276,03
draft-ietf-charmib-rs232like,ietf,charmib,False,False,True,False,False,False,1317,04
draft-ietf-charmib-parallelprinter,ietf,charmib,False,False,True,False,False,False,1318,02
draft-ietf-charmib-charmib,ietf,charmib,False,False,True,False,False,False,1316,02
draft-ietf-osids-friendlynaming,ietf,osids,False,False,True,False,False,False,1484,04
draft-ucl-kille-networkaddresses,ietf,osids,False,False,True,False,False,False,1277,05
draft-mills-ntpv3,legacy,none,False,False,True,False,False,False,1305,01
draft-ietf-ppp-32bitconfig,ietf,pppext,False,True,False,False,False,False,None,01
draft-ietf-ppp-llcoverppp,ietf,pppext,False,True,False,False,False,False,None,01
draft-ccirn-cocl-report,None,none,False,True,False,False,False,False,None,00
draft-ccirn-cocl-doc1,None,none,False,True,False,False,False,False,None,02
draft-ccirn-cocl-doc2,None,none,False,True,False,False,False,False,None,01
draft-ietf-osids-replication,ietf,osids,False,False,True,False,False,False,1275,03
draft-tsuchiya-subnetnos,legacy,none,False,False,True,False,False,False,1219,00
draft-ietf-snmpauth-uu,ietf,snmpauth,False,True,False,False,False,False,None,00
draft-ietf-bgp-bgp3,ietf,idr,False,False,True,False,False,False,1267,00
draft-provan-ipxtunneling,legacy,none,False,False,True,False,False,False,1234,01
draft-ccirn-cocl-doc3,None,none,False,True,False,False,False,False,None,00
draft-ccirn-cocl-doc4,None,none,False,True,False,False,False,False,None,01
draft-ietf-appleip-applemib,ietf,appleip,False,False,True,False,False,False,1243,00
draft-ietf-ucp-connectivity,ietf,ucp,False,True,False,False,False,False,None,01
draft-ietf-bridge-definitions,ietf,bridge,False,False,True,False,False,False,1286,02
draft-ietf-ucp-tt,ietf,ucp,False,False,True,False,False,False,1297,01
draft-ietf-ospf-ospfmib,ietf,ospf,False,False,True,False,False,False,1252,04
draft-ietf-idpr-specv1,ietf,idpr,False,False,True,False,False,False,1479,02
draft-ietf-osinsap-internetalloc,ietf,osinsap,False,False,True,False,False,False,1237,01
draft-ietf-ahwgipso-ipso,legacy,ipauth,False,False,True,False,False,False,1108,01
draft-ietf-appleip-MacIP,ietf,appleip,False,True,False,False,False,False,None,02
draft-ietf-osids-qos,ietf,osids,False,True,False,False,False,False,None,01
draft-ietf-osids-dirpilots,ietf,osids,False,False,True,False,False,False,1384,05
draft-ietf-osids-dsanaming,ietf,osids,False,True,False,False,False,False,None,02
draft-ietf-pem-msgproc,ietf,pem,False,False,True,False,False,False,1421,02
draft-ietf-rdisc-icmpmessage,ietf,rdisc,False,False,True,False,False,False,1256,01
draft-ietf-spwg-secureop,ietf,spwg,False,False,True,False,False,False,1281,02
draft-chiappa-ipaddressing,None,none,False,True,False,False,False,False,None,00
draft-ietf-iesg-routing,ietf,iesg,False,False,True,False,False,False,1264,00
draft-ietf-ospf-experience,ietf,ospf,False,False,True,False,False,False,1246,00
draft-ietf-ospf-analysis,ietf,ospf,False,False,True,False,False,False,1245,00
draft-ietf-snmpsec-admin,ietf,snmpsec,False,False,True,False,False,False,1351,03
draft-ietf-snmpsec-mib,ietf,snmpsec,False,False,True,False,False,False,1353,02
draft-ietf-snmpsec-protocols,ietf,snmpsec,False,False,True,False,False,False,1352,02
draft-ietf-bgp-nexthop,ietf,idr,False,True,False,False,False,False,None,01
draft-egevang-addrtrans,legacy,none,False,False,True,False,False,False,1631,02
draft-ietf-snmp-commservices,legacy,snmp,False,False,True,False,False,False,1270,00
draft-ietf-dhc-bootp,ietf,dhc,False,False,True,False,False,False,1532,01
draft-ietf-bgp-experience,ietf,idr,False,False,True,False,False,False,1266,00
draft-ietf-bgp-analysis,ietf,idr,False,False,True,False,False,False,1265,00
draft-ietf-acct-background,ietf,acct,False,False,True,False,False,False,1272,01
draft-ietf-kille-x_400mapping,legacy,none,False,False,True,False,False,False,1327,04
draft-ietf-ssph-handbook,legacy,ssh,False,False,True,False,False,False,1244,00
draft-ietf-pppext-decnet,ietf,pppext,False,False,True,False,False,False,1376,03
draft-ietf-decnetiv-mibextensions,ietf,decnetiv,False,False,True,False,False,False,1289,02
draft-ietf-cat-genericsec,ietf,cat,False,False,True,False,False,False,1508,03
draft-ietf-osids-resdescripx500,ietf,osids,False,True,False,False,False,False,None,00
draft-ietf-disi-netinfrax500,ietf,disi,False,True,False,False,False,False,None,00
draft-ietf-osids-nicprofilex500,ietf,osids,False,True,False,False,False,False,None,00
draft-ietf-osids-treestructure,ietf,osids,False,True,False,False,False,False,None,00
draft-tsuchiya-routingsmds,ietf,iplpdn,False,True,False,False,False,False,None,01
draft-ietf-iplpdn-ipoverframerelay,ietf,iplpdn,False,False,True,False,False,False,1294,03
draft-ietf-iplpdn-inarp,ietf,iplpdn,False,False,True,False,False,False,1293,03
draft-ietf-iplpdn-frmib,ietf,iplpdn,False,False,True,False,False,False,1315,05
draft-ietf-822ext-messagebodies,ietf,822ext,False,False,True,False,False,False,1341,06
draft-ietf-borenstein-configmech,legacy,none,False,False,True,False,False,False,1343,04
draft-ietf-netdata-netdata,ietf,netdata,False,True,False,False,False,False,None,04
draft-ietf-pppext-lcp,ietf,pppext,False,False,True,False,False,False,1331,02
draft-ietf-pppext-ipcp,ietf,pppext,False,False,True,False,False,False,1332,02
draft-ietf-cat-kerberos,ietf,cat,False,False,True,False,False,False,1510,02
draft-ietf-kille-88to84downgrade,legacy,none,False,False,True,False,False,False,1328,01
draft-ccirn-cocl-tsspecification,None,none,False,True,False,False,False,False,None,00
draft-ietf-822ext-mnemonics,ietf,822ext,False,True,False,False,False,False,None,04
draft-ietf-822ext-charsets,ietf,822ext,False,False,True,False,False,False,1345,04
draft-ietf-pppext-appletalk,ietf,pppext,False,False,True,False,False,False,1378,03
draft-rsadsi-rivest-md5,ietf,pem,False,False,True,False,False,False,1321,02
draft-ietf-rmon-mib,ietf,rmonmib,False,False,True,False,False,False,1271,01
draft-ietf-osids-requirements,ietf,osids,False,True,False,False,False,False,None,00
draft-ietf-dhc-protocol,ietf,dhc,False,False,True,False,False,False,1531,06
draft-aggarwal-services,legacy,none,False,False,True,False,False,False,1291,03
draft-rsadsi-kaliski-md2,ietf,pem,False,False,True,False,False,False,1319,01
draft-rsadsi-rivest-md4,ietf,pem,False,False,True,False,False,False,1320,01
draft-ietf-cat-secservice,ietf,cat,False,False,True,False,False,False,1509,02
draft-ietf-smtpext-8bittransport,ietf,smtpext,False,True,False,False,False,False,None,06
draft-ietf-pem-notary,ietf,pem,False,True,False,False,False,False,None,00
draft-prime-ullmann-smtp,None,none,False,True,False,False,False,False,None,01
draft-isi-rfc_nroff_macros,None,none,False,True,False,False,False,False,None,00
draft-droms-latexrfcstyle,None,none,False,True,False,False,False,False,None,00
draft-ietf-nisi-infrastructure,ietf,nisi,False,False,True,False,False,False,1302,00
draft-ietf-pem-keymgmt,ietf,pem,False,False,True,False,False,False,1422,01
draft-trewitt-scriberfcstyle,None,none,False,True,False,False,False,False,None,00
draft-ietf-fddimib-mib,ietf,fddimib,False,False,True,False,False,False,1285,00
draft-ietf-fddimib-trapdef,ietf,fddimib,False,True,False,False,False,False,None,00
draft-ietf-idpr-mib,ietf,idpr,False,True,False,False,False,False,None,03
draft-ietf-tnfs-spec,ietf,tnfs,False,True,False,False,False,False,None,03
draft-ietf-hubmib-mib,ietf,hubmib,False,False,True,False,False,False,1368,04
draft-ietf-iesg-evolutionplan,ietf,iesg,False,True,False,False,False,False,None,00
draft-ietf-ospf-trapmib,ietf,ospf,False,True,False,False,False,False,None,02
draft-almquist-leak,ietf,rreq,False,True,False,False,False,False,None,01
draft-almquist-nexthop,ietf,rreq,False,True,False,False,False,False,None,01
draft-almquist-tos,ietf,rreq,False,False,True,False,False,False,1349,02
draft-callon-routing,ietf,rreq,False,True,False,False,False,False,None,00
draft-ietf-idpr-configuration,ietf,idpr,False,True,False,False,False,False,None,00
draft-ietf-mospf-multicast,legacy,mospf,False,False,True,False,False,False,1584,03
draft-ietf-disi-catalog,ietf,disi,False,False,True,False,False,False,1292,01
draft-ietf-pppext-osinlcp,ietf,pppext,False,False,True,False,False,False,1377,02
draft-ietf-pppext-authentication,ietf,pppext,False,False,True,False,False,False,1334,06
draft-chiappa-routing,None,none,False,True,False,False,False,False,None,01
draft-iesg-commonigp,ietf,iesg,False,False,True,False,False,False,1371,01
draft-ietf-bgp-defaultroute,ietf,idr,False,False,True,False,False,False,1397,01
draft-ietf-rreq-forwarding,ietf,rreq,False,False,True,False,False,False,1354,05
draft-malkin-rip,ietf,ripv2,False,False,True,False,False,False,1388,05
draft-ietf-pem-algorithms,ietf,pem,False,False,True,False,False,False,1423,01
draft-ietf-rmon-trap,ietf,rmonmib,False,True,False,False,False,False,None,00
draft-ietf-bgp-multicast,ietf,idr,False,True,False,False,False,False,None,02
draft-feil-sitp,None,none,False,True,False,False,False,False,None,01
draft-ietf-bgp-usage,ietf,idr,False,False,True,False,False,False,1268,01
draft-ietf-osids-accesscntrl,ietf,osids,False,True,False,False,False,False,None,00
draft-ietf-nntp-news,ietf,nntp,False,True,False,False,False,False,None,01
draft-ietf-x25mib-lapbmib,ietf,x25mib,False,False,True,False,False,False,1381,05
draft-ietf-x25mib-ipox25mib,ietf,x25mib,False,False,True,False,False,False,1461,04
draft-ietf-x25mib-x25packet,ietf,x25mib,False,False,True,False,False,False,1382,05
draft-ietf-netfax-netimage,ietf,netfax,False,False,True,False,False,False,1314,03
draft-iab-standardsprocess,legacy,none,False,False,True,False,False,False,1310,01
draft-ietf-bgp-ospfinteract,ietf,idr,False,False,True,False,False,False,1364,06
draft-ietf-appleip-aurp,ietf,appleip,False,True,False,False,False,False,None,02
draft-ietf-cat-dass,ietf,cat,False,False,True,False,False,False,1507,02
draft-ietf-isis-mib,ietf,isis,False,True,False,False,False,False,None,04
draft-nicholson-conditioning,legacy,none,False,False,True,False,False,False,1306,00
draft-ietf-iplpdn-x25_isdn,ietf,iplpdn,False,False,True,False,False,False,1356,03
draft-ietf-tcplw-tcpext,ietf,tcplw,False,False,True,False,False,False,1323,02
draft-ietf-822ext-msghead,ietf,822ext,False,False,True,False,False,False,1342,01
draft-ietf-cipso-ipsecurity,ietf,cipso,False,True,False,False,False,False,None,01
draft-ietf-osids-archdirectory,ietf,osids,False,True,False,False,False,False,None,00
draft-tsuchiya-encap,legacy,none,False,False,True,False,False,False,1326,00
draft-ietf-iab-introstandard,legacy,none,False,False,True,False,False,False,1311,00
draft-ietf-bgp-unirouting,ietf,bgp,False,False,True,False,False,False,1322,00
draft-ietf-netdata-implement,ietf,netdata,False,True,False,False,False,False,None,03
draft-ietf-disi-execdir,ietf,disi,False,False,True,False,False,False,1308,02
draft-ietf-mpsnmp-appletalk,ietf,mpsnmp,False,False,True,False,False,False,1419,02
draft-ietf-pppext-lqm,ietf,pppext,False,False,True,False,False,False,1333,01
draft-young-linkcontrol,legacy,none,False,False,True,False,False,False,1307,00
draft-renwick-hippilan,legacy,none,False,False,True,False,False,False,1374,02
draft-stevenson-ipoversna,None,none,False,True,False,False,False,False,None,02
draft-bernstein-idserver,None,none,False,True,False,False,False,False,None,01
draft-ietf-osids-distnames,ietf,osids,False,False,True,False,False,False,1485,04
draft-ietf-x400ops-mhs-service,ietf,x400ops,False,False,True,False,False,False,1465,06
draft-ietf-x400ops-mapsmail,ietf,x400ops,False,False,True,False,False,False,1405,01
draft-ietf-telnet-environment,ietf,telnet,False,False,True,False,False,False,1408,03
draft-ietf-telnet-remflow-cntrl,ietf,telnet,False,False,True,False,False,False,1372,01
draft-ietf-disi-techview,ietf,disi,False,False,True,False,False,False,1309,00
draft-ietf-telnet-authker-v4,ietf,telnet,False,False,True,False,False,False,1411,01
draft-ietf-telnet-authker-v5,ietf,telnet,False,True,False,False,False,False,None,01
draft-ietf-dns-mibext,ietf,dns,False,True,False,False,False,False,None,05
draft-ietf-osids-simple-stack,ietf,osids,False,True,False,False,False,False,None,00
draft-ietf-cip-apisocket,ietf,cip,False,True,False,False,False,False,None,00
draft-ietf-x400ops-mgtdomains-ops,ietf,x400ops,False,False,True,False,False,False,1649,05
draft-ietf-opstat-model,ietf,opstat,False,False,True,False,False,False,1404,00
draft-noon-hybrid-netbios,None,none,False,True,False,False,False,False,None,01
draft-ietf-ethermib-implexp,ietf,ethermib,False,False,True,False,False,False,1369,00
draft-ietf-ethermib-objects,ietf,ethermib,False,True,False,False,False,False,None,00
draft-hares-idrp,None,none,False,True,False,False,False,False,None,05
draft-ietf-osids-dirtree,ietf,osids,False,True,False,False,False,False,None,00
draft-ietf-ripv2-mibext,ietf,ripv2,False,False,True,False,False,False,1389,03
draft-ietf-mhsds-subtrees,ietf,mhsds,False,False,True,False,False,False,1837,05
draft-ietf-mhsds-infotree,ietf,mhsds,False,False,True,False,False,False,1836,06
draft-ietf-mhsds-supmapping,ietf,mhsds,False,False,True,False,False,False,1838,05
draft-ietf-mhsds-mhsuse,ietf,mhsds,False,True,False,False,False,False,None,03
draft-ietf-mhsds-822dir,ietf,mhsds,False,True,False,False,False,False,None,03
draft-ietf-mhsds-mhsprofile,ietf,mhsds,False,True,False,False,False,False,None,04
draft-ietf-mpsnmp-overosi,ietf,mpsnmp,False,False,True,False,False,False,1418,03
draft-fuller-supernet,legacy,none,False,False,True,False,False,False,1338,00
draft-ietf-ident-mib,ietf,ident,False,False,True,False,False,False,1414,03
draft-eastlake-linksectos,legacy,none,False,False,True,False,False,False,1455,01
draft-ietf-mhsds-routdirectory,ietf,mhsds,False,False,True,False,False,False,1801,05
draft-ietf-osids-lightdirect,ietf,osids,False,False,True,False,False,False,1487,02
draft-ietf-ospf-v2update,ietf,ospf,False,True,False,False,False,False,None,00
draft-solensky-csharp,None,none,False,True,False,False,False,False,None,00
draft-ietf-idpr-summary,ietf,idpr,False,False,True,False,False,False,1477,00
draft-ietf-bgp-bgp4,ietf,idr,False,False,True,False,False,False,1654,09
draft-ietf-osids-syntaxes,ietf,osids,False,False,True,False,False,False,1488,01
draft-ietf-iesg-tftp,legacy,none,False,False,True,False,False,False,1350,00
draft-case-ups-mib,ietf,upsmib,False,True,False,False,False,False,None,01
draft-bernstein-tap,None,none,False,True,False,False,False,False,None,00
draft-tsuchiya-pip,None,none,False,True,False,False,False,False,None,00
draft-rekhter-ipaddress-guide,legacy,none,False,False,True,False,False,False,1518,07
draft-karrenberg-proposal,None,none,False,True,False,False,False,False,None,00
draft-ietf-ident-idserver,ietf,ident,False,False,True,False,False,False,1413,02
draft-ietf-iplpdn-shortcutrouting,ietf,iplpdn,False,True,False,False,False,False,None,02
draft-graves-printer-spec,None,none,False,True,False,False,False,False,None,00
draft-tsuchiya-pip-overview,ietf,pip,False,True,False,False,False,False,None,01
draft-ietf-pppext-ipxcp,ietf,pppext,False,False,True,False,False,False,1552,04
draft-ietf-atm-multipro,ietf,ipatm,False,False,True,False,False,False,1483,05
draft-ullmann-net-utf,None,none,False,True,False,False,False,False,None,00
draft-ietf-stjohns-ipso,None,none,False,True,False,False,False,False,None,00
draft-ietf-x400ops-charactersets,ietf,x400ops,False,False,True,False,False,False,1502,02
draft-ietf-iplpdn-directed_arp,ietf,iplpdn,False,False,True,False,False,False,1433,00
draft-blaesing-transpro-mib,None,none,False,True,False,False,False,False,None,00
draft-ietf-pppext-ipcpmib,ietf,pppext,False,False,True,False,False,False,1473,04
draft-ietf-pppext-bridgemib,ietf,pppext,False,False,True,False,False,False,1474,03
draft-ietf-pppext-lcpmib,ietf,pppext,False,False,True,False,False,False,1471,03
draft-ietf-pppext-secmib,ietf,pppext,False,False,True,False,False,False,1472,03
draft-ietf-mpsnmp-overipx,ietf,mpsnmp,False,False,True,False,False,False,1420,01
draft-crocker-ip-encaps,None,none,False,True,False,False,False,False,None,01
draft-ietf-atommib-sonet,ietf,atommib,False,False,True,False,False,False,1595,03
draft-ietf-dhc-options,ietf,dhc,False,False,True,False,False,False,1533,03
draft-ietf-dhc-between-bootp,ietf,dhc,False,False,True,False,False,False,1534,02
draft-ietf-mimemhs-mapping,ietf,mimemhs,False,False,True,False,False,False,1495,02
draft-ietf-mimemhs-body-equival,ietf,mimemhs,False,False,True,False,False,False,1494,02
draft-iab-ipversion7,iab,iab,False,True,False,False,False,False,None,00
draft-wang-extended-ip,None,none,False,True,False,False,False,False,None,00
draft-ietf-nisi-privacy-nic,ietf,nisi,False,False,True,False,False,False,1355,00
draft-ietf-telnet-authspx,ietf,telnet,False,False,True,False,False,False,1412,00
draft-ietf-acct-metermib,ietf,acct,False,True,False,False,False,False,None,00
draft-ietf-acct-archreport,ietf,acct,False,True,False,False,False,False,None,00
draft-ranch-ipoverlocaltalk,None,none,False,True,False,False,False,False,None,00
draft-ietf-ethermib-objectsv2,ietf,ethermib,False,False,True,False,False,False,1398,02
draft-ietf-snmpv2-intro,ietf,snmpv2,False,False,True,False,False,False,1441,05
draft-ietf-snmpv2-proto,ietf,snmpv2,False,False,True,False,False,False,1448,05
draft-ietf-snmpv2-tm,ietf,snmpv2,False,False,True,False,False,False,1449,06
draft-ietf-snmpv2-coex,ietf,snmpv2,False,False,True,False,False,False,1452,05
draft-ietf-snmpv2-tc,ietf,snmpv2,False,False,True,False,False,False,1443,05
draft-ietf-snmpv2-smi,ietf,snmpv2,False,False,True,False,False,False,1442,05
draft-ietf-snmpv2-m2m,ietf,snmpv2,False,False,True,False,False,False,1451,05
draft-ietf-snmpv2-mib,ietf,snmpv2,False,False,True,False,False,False,1450,05
draft-allen-ipx-media,legacy,none,False,False,True,False,False,False,1362,00
draft-ballardie-cbt,ietf,idmr,False,True,False,False,False,False,None,02
draft-ullmann-ipv7,ietf,tpix,False,False,True,False,False,False,1475,03
draft-dempsey-audit-info,None,none,False,True,False,False,False,False,None,00
draft-ietf-ripv2-analysis,ietf,ripv2,False,False,True,False,False,False,1387,00
draft-ietf-822ext-iso2022jp,ietf,822ext,False,False,True,False,False,False,1468,02
draft-ietf-bgp-mibv4,ietf,idr,False,False,True,False,False,False,1657,05
draft-ietf-pem-forms,ietf,pem,False,False,True,False,False,False,1424,01
draft-rose-extensions,ietf,smtpext,False,False,True,False,False,False,1425,06
draft-rose-8bit,ietf,smtpext,False,True,False,False,False,False,None,03
draft-rose-limit,None,none,False,True,False,False,False,False,None,01
draft-ietf-tuba-clnp,ietf,tuba,False,False,True,False,False,False,1561,05
draft-moore-extension-size,ietf,smtpext,False,False,True,False,False,False,1427,04
draft-ietf-fddi-ipoverfddi,ietf,fddi,False,False,True,False,False,False,1390,00
draft-ietf-idr-bgp4ospf-interact,ietf,idr,False,False,True,False,False,False,1745,07
draft-ietf-sdr-sdrp,ietf,sdr,False,True,False,False,False,False,None,05
draft-iab-appl-statement-ospf,legacy,none,False,False,True,False,False,False,1370,00
draft-ietf-osids-dua-metrics,ietf,osids,False,False,True,False,False,False,1431,00
draft-ietf-osids-dsa-metrics,ietf,osids,False,False,True,False,False,False,1564,01
