Draft,Bwc_most_infl,Bwc_least_infl,Bwc_avg,Email_count_most_infl,Email_count_least_infl,Email_count_avg,Age_most_infl,Age_least_infl,Age_avg,Total_authors,In_top10,In_next20,Draft_published_most_infl,Draft_published_least_infl,Draft_published_avg,Areas_most_infl,Areas_least_infl,Areas_avg,Mlist_count_most_infl,Mlist_count_least_infl,Mlist_count_avg,cisco,huawei,ericsson,nokia,juniper,nortel,microsoft,sun,at&t,china mobile,alcatel-lucent,nec,comcast,google,ibm,alcatel,mit,uc3m,france,tsinghua university
draft-thomson-rtcweb-consent,0.3367,0.2799,0.304,2097,2106,2199.667,13.0,16.0,12.5,3,3,0,1,1,1.0,11,9,1.0,95,75,73.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-xiaobn-ccamp-flexe-yang-mod,0.0,0.0,0.0,8,8,8.0,9.5,9.5,9.5,4,0,0,1,1,1.0,1,1,1.0,3,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ma-core-stateful-observe,0.0,0.0,0.0,0,0,0.0,-5.0,-5.0,-5.0,3,0,0,1,1,1.0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-yong-pwe3-lfc-fat-pw,0.0,0.0,0.0,194,75,134.5,4.0,1.5,2.75,2,0,0,1,1,1.0,5,1,1.0,18,1,9.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-bogdanovic-nmrg-wireless-mobile-backhaul-use-case,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-cui-dhc-dhcpv4-over-ipv6,0.3537,0.0,0.089,1531,5,402.0,15.5,4.0,6.75,4,1,0,1,1,0.75,7,1,0.75,38,1,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
draft-shen-sm3-hash,0.0001,0.0001,0.0,20,20,20.0,6.5,6.5,6.5,1,0,0,1,1,1.0,5,5,1.0,7,7,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-dykim-6man-sid6,0.0028,0.0028,0.003,230,230,230.0,25.5,25.5,25.5,1,0,1,1,1,1.0,4,4,1.0,4,4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-racz-bgp-based-alto-service,0.0,0.0,0.0,2,3,2.5,0.0,0.5,0.25,2,0,0,1,1,1.0,1,1,1.0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-holmberg-sip-target-uri-delivery,0.152,0.0125,0.082,1535,75,805.0,4.5,2.5,3.5,2,2,0,1,1,1.0,4,2,1.0,14,4,9.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-wing-tsvwg-happy-eyeballs-sctp,0.5818,0.0022,0.292,2202,24,1113.0,13.0,4.0,8.5,2,1,0,1,1,1.0,9,3,1.0,78,4,41.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-briscoe-tcpm-inner-space,0.0505,0.0505,0.051,709,709,709.0,18.0,18.0,18.0,1,1,0,1,1,1.0,8,8,1.0,29,29,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-mort-websec-transparent-visitor-tracking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-tram-auth-problems,0.0213,0.0064,0.013,459,24,358.0,3.0,9.5,7.25,4,2,2,1,0,0.75,9,2,0.75,22,5,17.75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-despres-intarea-4rd,0.0262,0.0002,0.014,632,30,511.5,9.0,2.5,6.25,4,2,1,1,1,0.75,5,3,0.75,15,5,15.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-kistel-encrypted-password-storage,0.0028,0.0028,0.003,52,52,52.0,7.5,7.5,7.5,1,0,1,1,1,1.0,4,4,1.0,9,9,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-tsvwg-rsvp-app-id-vv-profiles,0.0498,0.0003,0.025,742,17,379.5,15.0,9.0,12.0,2,1,0,1,1,1.0,10,3,1.0,46,3,24.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-jeong-its-vehicular-networking-survey,0.0112,0.0,0.004,160,4,64.0,14.5,0.5,7.5,4,1,1,0,0,0.5,4,2,0.5,9,3,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-templin-inetmtu-trivial,0.2085,0.2085,0.208,916,916,916.0,10.0,10.0,10.0,1,1,0,1,1,1.0,6,6,1.0,26,26,26.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-cdni-control-triggers-extensions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-koodli-netlmm-local-forwarding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-moonesamy-nomcom-selection,0.2127,0.2127,0.213,3149,3149,3149.0,8.0,8.0,8.0,1,1,0,1,1,1.0,12,12,1.0,82,82,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-despres-softwire-4rd,0.026,0.026,0.026,981,981,981.0,6.0,6.0,6.0,1,1,0,1,1,1.0,6,6,1.0,25,25,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-shi-model-json-msg-yang,0.0411,0.0065,0.024,354,31,192.5,8.5,0.0,4.25,2,1,1,0,0,0.0,7,2,0.0,19,3,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-rmcat-wireless-tests,0.0044,0.0011,0.003,108,79,93.5,7.5,10.5,9.0,3,0,1,1,1,1.0,4,4,1.0,6,7,6.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-rtgwg-vrrp-bfd-p2p,0.128,0.0,0.047,2129,5,636.8,22.0,5.0,7.6,5,2,1,1,1,1.0,7,1,1.0,63,2,24.6,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
draft-dnoveck-nfsv4-storage-control,0.0639,0.0639,0.064,499,499,499.0,8.0,8.0,8.0,5,1,0,1,1,1.0,1,1,1.0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-einarsson-mmusic-rtsp-macuri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-li-ppsp-nat-traversal,0.0001,0.0,0.0,26,1,9.0,3.5,9.5,6.5,3,0,0,1,1,1.0,2,1,1.0,3,1,1.333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
draft-ietf-pwe3-p2mp-pw,0.014,0.0,0.005,179,14,98.333,10.0,9.0,7.5,3,1,0,1,1,1.0,3,2,1.0,13,5,8.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-sip-userlocationinfo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-richardson-anima-6join-discovery,0.3376,0.3376,0.338,3201,3201,3201.0,21.5,21.5,21.5,1,1,0,1,1,1.0,10,10,1.0,98,98,98.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-lanz-cicm-cm,0.0817,0.0,0.041,87,4,45.5,1.5,12.0,6.75,2,1,0,1,1,1.0,2,1,1.0,5,1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-curdle-dh-group-exchange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-cain-post-inch-phishingextns,0.0003,0.0003,0.0,14,14,14.0,10.0,10.0,10.0,2,0,0,1,1,1.0,3,3,1.0,3,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-hong-icnrg-icnnrs,0.011,0.0,0.004,43,0,23.667,4.0,13.0,10.0,3,1,1,1,1,1.0,2,0,1.0,4,0,2.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-mapathak-interas-ab,0.0069,0.0,0.003,105,11,58.0,11.5,3.0,7.25,3,0,1,1,1,1.0,4,1,1.0,14,2,8.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-boucadair-behave-bittorrent-address-sharing,0.0271,0.0004,0.014,560,64,312.0,6.5,5.5,6.0,4,1,0,1,1,1.0,8,3,1.0,29,5,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
draft-zhuang-netmod-yang-poe-management,0.0004,0.0004,0.0,63,63,63.0,2.0,2.0,2.0,1,0,0,1,1,1.0,3,3,1.0,14,14,14.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-beroset-ietf-1hop-routing-reqs,0.0001,0.0001,0.0,7,7,7.0,1.0,1.0,1.0,1,0,0,1,1,1.0,3,3,1.0,3,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-overlay-grouping,0.0,0.0,0.0,8,8,8.0,0.0,0.0,0.0,1,0,0,1,1,1.0,1,1,1.0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-field-mile-rolie,0.0,0.0,0.0,19,19,19.0,1.0,1.0,1.0,1,0,0,0,0,0.0,1,1,0.0,2,2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-pwid-urn-specification,0.0,0.0,0.0,26,26,26.0,1.0,1.0,1.0,1,0,0,1,1,1.0,1,1,1.0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-zyp-json-schema,0.0008,0.0004,0.001,103,13,58.0,0.5,4.5,2.5,3,0,0,1,1,1.0,2,2,1.0,3,4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-radext-radius-mobility-gondi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-tsou-stateless-nat44,0.3743,0.0023,0.088,1540,243,640.2,5.0,1.0,6.5,5,3,2,1,1,0.8,11,2,0.8,55,2,28.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
